source_airport,dest_airport,airline,equipment
AER,KZN,2B,CR2
ASF,KZN,2B,CR2
ASF,MRV,2B,CR2
CEK,KZN,2B,CR2
CEK,OVB,2B,CR2
DME,KZN,2B,CR2
DME,NBC,2B,CR2
DME,TGK,2B,CR2
DME,UUA,2B,CR2
EGO,KGD,2B,CR2
EGO,KZN,2B,CR2
GYD,NBC,2B,CR2
KGD,EGO,2B,CR2
KZN,AER,2B,CR2
KZN,ASF,2B,CR2
KZN,CEK,2B,CR2
KZN,DME,2B,CR2
KZN,EGO,2B,CR2
KZN,LED,2B,CR2
KZN,SVX,2B,CR2
LED,KZN,2B,CR2
LED,NBC,2B,CR2
LED,UUA,2B,CR2
MRV,ASF,2B,CR2
NBC,DME,2B,CR2
NBC,GYD,2B,CR2
NBC,LED,2B,CR2
NBC,SVX,2B,CR2
NJC,SVX,2B,CR2
NJC,UUA,2B,CR2
NUX,SVX,2B,CR2
OVB,CEK,2B,CR2
OVB,SVX,2B,CR2
SVX,KZN,2B,CR2
SVX,NBC,2B,CR2
SVX,NJC,2B,CR2
SVX,NUX,2B,CR2
SVX,OVB,2B,CR2
TGK,DME,2B,CR2
UUA,DME,2B,CR2
UUA,LED,2B,CR2
UUA,NJC,2B,CR2
BTK,IKT,2G,A81
BTK,OVB,2G,A81
HTA,IKT,2G,AN4
IKT,BTK,2G,A81
IKT,HTA,2G,AN4
IKT,KCK,2G,AN4
IKT,ODO,2G,AN4
IKT,OVB,2G,A81
IKT,UKX,2G,AN4
IKT,ULK,2G,AN4
IKT,YKS,2G,A81
KCK,IKT,2G,AN4
MJZ,OVB,2G,A81
ODO,IKT,2G,AN4
OVB,BTK,2G,A81
OVB,IKT,2G,A81
UKX,IKT,2G,AN4
ULK,IKT,2G,AN4
YKS,IKT,2G,A81
AYP,LIM,2I,142
CUZ,LIM,2I,142 141
CUZ,PEM,2I,142
HUU,LIM,2I,141
IQT,PCL,2I,143
IQT,TPP,2I,142
LIM,AYP,2I,142
LIM,CUZ,2I,142 141
LIM,HUU,2I,141
LIM,PCL,2I,143 146
LIM,TPP,2I,142 146
PCL,IQT,2I,143
PCL,LIM,2I,143 146
PCL,TPP,2I,146
PEM,CUZ,2I,142
TPP,IQT,2I,142
TPP,LIM,2I,142 146
TPP,PCL,2I,146
ABJ,BOY,2J,CRJ
ABJ,OUA,2J,E70 CRJ M87
ACC,OUA,2J,CRJ
BKO,ABJ,2J,M87
BKO,DKR,2J,M87
BKO,OUA,2J,CRJ
BOY,ABJ,2J,CRJ
BOY,OUA,2J,CRJ
COO,LFW,2J,M87
COO,OUA,2J,M87
DKR,BKO,2J,M87
DKR,OUA,2J,M87
LFW,OUA,2J,M87 CRJ
NIM,OUA,2J,CRJ
OUA,ABJ,2J,E70 CRJ M87
OUA,ACC,2J,CRJ
OUA,BKO,2J,M87 CRJ
OUA,BOY,2J,CRJ
OUA,COO,2J,M87
OUA,DKR,2J,M87
OUA,LFW,2J,CRJ
OUA,NIM,2J,CRJ
BOG,GYE,2K,319
BOG,UIO,2K,319 320
CLO,GYE,2K,319
GYE,BOG,2K,319
GYE,CLO,2K,319
GYE,SCY,2K,319 320
GYE,UIO,2K,320 319
OCC,UIO,2K,319
SCY,GYE,2K,319 320
UIO,BOG,2K,319 320
UIO,GYE,2K,319
UIO,OCC,2K,319
BDS,ZRH,2L,100
BOD,ZRH,2L,100
BRS,ZRH,2L,100
GVA,LPA,2L,319
LCA,ZRH,2L,319
LPA,ZRH,2L,319
RMF,ZRH,2L,319
TFS,GVA,2L,319
ZRH,BDS,2L,100
ZRH,BOD,2L,100
ZRH,BRS,2L,100
ZRH,LCA,2L,319
ZRH,LPA,2L,319
ZRH,RMF,2L,319
AJR,LYC,2N,ATP
ARN,GEV,2N,ATP
ARN,HAD,2N,SF3
ARN,JKG,2N,ATP SF3
ARN,KRF,2N,ATP
ARN,KSD,2N,SF3
ARN,LYC,2N,ATP
ARN,MHQ,2N,SF3
ARN,OER,2N,ATR
ARN,POR,2N,SF3
ARN,TRF,2N,SF3
ARN,VBY,2N,SF3 ATP
ARN,VHM,2N,SF3
ARN,VXO,2N,SF3
GEV,ARN,2N,ATP
GEV,KRF,2N,ATP
HAD,ARN,2N,SF3 ATP
HAD,JKG,2N,ATP SF3
HAD,VXO,2N,SF3
HMV,VHM,2N,SF3
JKG,ARN,2N,ATP SF3
JKG,HAD,2N,ATP SF3
KOK,POR,2N,SF3
KRF,ARN,2N,ATP
KRF,GEV,2N,ATP
KSD,ARN,2N,SF3
LYC,AJR,2N,ATP
LYC,ARN,2N,ATP
MHQ,ARN,2N,SF3
MHQ,TKU,2N,SF3
OER,ARN,2N,ATR
OSL,VXO,2N,SF3
POR,ARN,2N,SF3
POR,KOK,2N,SF3
TKU,MHQ,2N,SF3
TRF,ARN,2N,SF3
VBY,ARN,2N,SF3 ATP
VHM,ARN,2N,SF3
VHM,HMV,2N,SF3
VXO,ARN,2N,SF3
VXO,OSL,2N,SF3
ADQ,KLN,2O,BNI
KLN,KYK,2O,BNI
BSO,MNL,2P,DH4
BXU,MNL,2P,320
CBO,MNL,2P,320
CGY,MNL,2P,320
CRM,MNL,2P,DH4
DGT,MNL,2P,320
DWC,MNL,2P,330
GES,MNL,2P,320
KLO,MNL,2P,320
LGP,MNL,2P,320
MNL,BSO,2P,DH4
MNL,BXU,2P,320
MNL,CBO,2P,320
MNL,CGY,2P,320
MNL,CRM,2P,DH4
MNL,DGT,2P,320
MNL,DWC,2P,330
MNL,GES,2P,320
MNL,KLO,2P,320
MNL,LGP,2P,320
MNL,MPH,2P,DH3
MNL,OZC,2P,320
MNL,PPS,2P,320
MNL,RXS,2P,320
MNL,SUG,2P,DH4
MNL,TUG,2P,DH4
MNL,ZAM,2P,320
MPH,MNL,2P,DH3
OZC,MNL,2P,320
PPS,MNL,2P,320
RXS,MNL,2P,320
SUG,MNL,2P,DH4
TUG,MNL,2P,DH4
ZAM,MNL,2P,320
AUX,PMW,2Z,AT7
BRA,BSB,2Z,AT7
BRA,SSA,2Z,AT7
BSB,BRA,2Z,AT7
BSB,OPS,2Z,AT7
BSB,RAO,2Z,AT7
CAC,GRU,2Z,AT7
CGB,GYN,2Z,AT7
CGB,OPS,2Z,AT7
CGR,DOU,2Z,AT7
DOU,CGR,2Z,AT7
DOU,GRU,2Z,AT7
GIG,RAO,2Z,AT7
GRU,CAC,2Z,AT7
GRU,DOU,2Z,AT7
GRU,RAO,2Z,AT7
GRU,UBA,2Z,AT7
GRU,UDI,2Z,AT7
GRU,VDC,2Z,AT7
GYN,CGB,2Z,AT7
GYN,PMW,2Z,AT7
GYN,RAO,2Z,AT7
GYN,UDI,2Z,AT7
OPS,BSB,2Z,AT7
OPS,CGB,2Z,AT7
PLU,RAO,2Z,AT7
PMW,AUX,2Z,AT7
PMW,GYN,2Z,AT7
RAO,BSB,2Z,AT7
RAO,GIG,2Z,AT7
RAO,GRU,2Z,AT7
RAO,GYN,2Z,AT7
RAO,PLU,2Z,AT7
RAO,SJP,2Z,AT7
RAO,UDI,2Z,AT7
SJP,RAO,2Z,AT7
SSA,BRA,2Z,AT7
SSA,VDC,2Z,AT7
UBA,GRU,2Z,AT7
UBA,UDI,2Z,AT7
UDI,GRU,2Z,AT7
UDI,GYN,2Z,AT7
UDI,RAO,2Z,AT7
UDI,UBA,2Z,AT7
VDC,GRU,2Z,AT7
VDC,SSA,2Z,AT7
BRL,ORD,3E,CNC
BRL,STL,3E,CNC
DEC,ORD,3E,CNC
DEC,STL,3E,CNC
JBR,STL,3E,CNC
ORD,BRL,3E,CNC
ORD,DEC,3E,CNC
STL,BRL,3E,CNC
STL,DEC,3E,CNC
STL,JBR,3E,CNC
KTN,MTM,3F,DHP
MTM,KTN,3F,DHP
ACC,DKR,3G,319
ACC,LOS,3G,319
ACC,ROB,3G,319
BCN,BJL,3G,319
BJL,BCN,3G,319
BJL,DKR,3G,319
BJL,FNA,3G,319
CKY,OXB,3G,319
DKR,ACC,3G,319
DKR,BJL,3G,319
DKR,DLA,3G,319
DKR,FNA,3G,319
DKR,LOS,3G,319
DKR,OXB,3G,319
DLA,DKR,3G,319
DLA,LOS,3G,319
FNA,BJL,3G,319
FNA,DKR,3G,319
FNA,LGW,3G,319
FNA,ROB,3G,319
LGW,FNA,3G,319
LOS,ACC,3G,319
LOS,DKR,3G,319
LOS,DLA,3G,319
LOS,ROB,3G,319
OXB,CKY,3G,319
OXB,DKR,3G,319
ROB,ACC,3G,319
ROB,FNA,3G,319
ROB,LOS,3G,319
AKV,YIK,3H,DH8
AKV,YPX,3H,DH8
XGR,YVP,3H,DHT BET
YGL,YGW,3H,DHT
YGL,YPX,3H,73M
YGL,YUL,3H,73M
YGW,YGL,3H,DHT
YGW,YPH,3H,BET
YGW,YSK,3H,DH8
YGW,YUD,3H,DH8
YGW,YUL,3H,DH8
YGW,YUY,3H,DH8
YIK,AKV,3H,DH8
YIK,YZG,3H,DH8
YKG,YPJ,3H,DHT DH8
YKG,YQC,3H,DH8
YKG,YVP,3H,DH8 DHT
YKL,YQB,3H,DH8
YKL,YVP,3H,DH8 BET
YKL,YWK,3H,BET
YKL,YZV,3H,BET DH8
YPH,YPX,3H,DH8 BET
YPH,YUD,3H,DH8
YPH,YVP,3H,BET
YPJ,YKG,3H,DHT DH8
YPJ,YTQ,3H,DHT DH8
YPJ,YVP,3H,DHT
YPX,AKV,3H,DH8
YPX,YGL,3H,73M
YPX,YPH,3H,DH8
YPX,YVP,3H,BET
YQB,YKL,3H,DH8
YQB,YUL,3H,DH8
YQC,YKG,3H,DH8
YQC,YWB,3H,DH8
YSK,YGW,3H,DH8
YSK,YUD,3H,DH8
YTQ,YPJ,3H,DHT DH8
YTQ,YVP,3H,DHT DH8
YUD,YGW,3H,DH8
YUD,YPH,3H,DH8
YUD,YSK,3H,DH8
YUL,YGL,3H,73M
YUL,YGW,3H,DH8
YUL,YQB,3H,DH8
YUL,YUY,3H,DH8
YUY,YGW,3H,DH8
YUY,YUL,3H,DH8
YVP,XGR,3H,DHT BET
YVP,YGW,3H,BET
YVP,YKG,3H,DH8
YVP,YKL,3H,DH8 BET
YVP,YPH,3H,BET
YVP,YPJ,3H,DHT
YVP,YPX,3H,BET
YVP,YTQ,3H,DHT DH8
YWB,YQC,3H,DH8
YWB,YZG,3H,DH8
YWK,YKL,3H,BET
YWK,YZV,3H,BET
YZG,YIK,3H,DH8
YZG,YWB,3H,DH8
YZV,YKL,3H,BET DH8
YZV,YWK,3H,BET
JIB,DXB,3J,737
JIB,JED,3J,737
JIB,MGQ,3J,737
MGQ,NBO,3J,737
NBO,MGQ,3J,737
BKK,SIN,3K,320
DRW,SIN,3K,320
HAK,SIN,3K,320
HGH,SIN,3K,320
HKG,SIN,3K,320
HKT,SIN,3K,320
KIX,MNL,3K,320
KIX,TPE,3K,320
KUL,SIN,3K,320
MNL,KIX,3K,320
MNL,SIN,3K,320
PEN,SIN,3K,320
PER,SIN,3K,320
PNH,SIN,3K,320
REP,SIN,3K,320
RGN,SIN,3K,320
SGN,SIN,3K,320
SIN,BKK,3K,320
SIN,DRW,3K,320
SIN,HAK,3K,320
SIN,HGH,3K,320
SIN,HKG,3K,320
SIN,HKT,3K,320
SIN,KUL,3K,320
SIN,MNL,3K,320
SIN,PEN,3K,320
SIN,PER,3K,320
SIN,PNH,3K,320
SIN,REP,3K,320
SIN,RGN,3K,320
SIN,SGN,3K,320
SIN,SWA,3K,320
SIN,TPE,3K,320
SWA,SIN,3K,320
TPE,KIX,3K,320
TPE,SIN,3K,320
ACH,EBA,3L,DH3
DRS,ZRH,3L,DH3
DUS,FDH,3L,DH3
EBA,ACH,3L,DH3
EBA,FDH,3L,DH3
EBA,MUC,3L,DH3
EBA,ZRH,3L,DH3
FDH,DUS,3L,DH3
FDH,EBA,3L,DH3
FDH,HAM,3L,AT7
FDH,OLB,3L,AT7
FDH,TXL,3L,AT7
FDH,ZAD,3L,AT7
FMM,NAP,3L,AT7
GRZ,ZRH,3L,DH3
HAM,FDH,3L,AT7
MUC,EBA,3L,DH3
NAP,FMM,3L,AT7
OLB,FDH,3L,AT7
SZG,ZRH,3L,DH3
TXL,FDH,3L,AT7
ZAD,FDH,3L,AT7
ZRH,DRS,3L,DH3
ZRH,EBA,3L,DH3
ZRH,GRZ,3L,DH3
ZRH,SZG,3L,DH3
ATL,LWB,3M,SF3
ATL,MCN,3M,SF3
ATL,MEI,3M,SF3
ATL,MSL,3M,SF3
ATL,PIB,3M,SF3
ATL,TUP,3M,SF3
BIM,FLL,3M,SF3
ELH,FLL,3M,SF3
ELH,PBI,3M,SF3
EYW,FLL,3M,SF3
EYW,RSW,3M,SF3
EYW,TPA,3M,SF3
FLL,BIM,3M,SF3
FLL,ELH,3M,SF3
FLL,EYW,3M,SF3
FLL,FPO,3M,SF3
FLL,GGT,3M,SF3
FLL,GHB,3M,SF3
FLL,MCO,3M,SF3
FLL,MHH,3M,SF3
FLL,TCB,3M,SF3
FLL,TPA,3M,SF3
FPO,FLL,3M,SF3
GGT,FLL,3M,SF3
GGT,GHB,3M,SF3
GHB,FLL,3M,SF3
GLH,TUP,3M,SF3
GNV,MCO,3M,SF3
GNV,TPA,3M,SF3
JAX,MHH,3M,SF3
JAX,TPA,3M,SF3
LWB,ATL,3M,SF3
MCN,ATL,3M,SF3
MCN,MCO,3M,SF3
MCO,FLL,3M,SF3
MCO,GNV,3M,SF3
MCO,MCN,3M,SF3
MCO,MHH,3M,SF3
MCO,PNS,3M,SF3
MCO,RSW,3M,SF3
MCO,TLH,3M,SF3
MEI,ATL,3M,SF3
MHH,FLL,3M,SF3
MHH,JAX,3M,SF3
MHH,MCO,3M,SF3
MHH,PBI,3M,SF3
MSL,ATL,3M,SF3
PBI,ELH,3M,SF3
PBI,MHH,3M,SF3
PBI,TPA,3M,SF3
PIB,ATL,3M,SF3 
PNS,MCO,3M,SF3
PNS,TPA,3M,SF3
RSW,EYW,3M,SF3
RSW,MCO,3M,SF3
TCB,FLL,3M,SF3
TLH,MCO,3M,SF3
TLH,TPA,3M,SF3
TPA,EYW,3M,SF3
TPA,FLL,3M,SF3
TPA,GNV,3M,SF3
TPA,JAX,3M,SF3
TPA,PBI,3M,SF3
TPA,PNS,3M,SF3
TPA,TLH,3M,SF3
TUP,ATL,3M,SF3 
TUP,GLH,3M,SF3
AMS,NDR,3O,320
AMS,TNG,3O,320
BCN,CMN,3O,320
BCN,NDR,3O,320
BCN,TNG,3O,320
BGY,CMN,3O,320
BLQ,CMN,3O,320
BRU,CMN,3O,320
BRU,NDR,3O,320
BRU,TNG,3O,320
CGN,NDR,3O,320
CMN,BCN,3O,320
CMN,BGY,3O,320
CMN,BLQ,3O,320
CMN,BRU,3O,320
CMN,CUF,3O,320
CMN,LGW,3O,320
CMN,LYS,3O,320
CMN,MPL,3O,320
CMN,SAW,3O,320
CMN,TLS,3O,320
CMN,TSF,3O,320
CUF,CMN,3O,320
FEZ,MPL,3O,320
LGW,CMN,3O,320
LGW,TNG,3O,320
LYS,CMN,3O,320
MPL,CMN,3O,320
MPL,FEZ,3O,320
MPL,NDR,3O,320
NDR,AMS,3O,320
NDR,BCN,3O,320
NDR,BRU,3O,320
NDR,CGN,3O,320
NDR,MPL,3O,320
NDR,PMI,3O,320
PMI,NDR,3O,320
SAW,CMN,3O,320
TLS,CMN,3O,320
TNG,AMS,3O,320
TNG,BCN,3O,320
TNG,BRU,3O,320
TNG,LGW,3O,320
TSF,CMN,3O,320
AUA,LSP,3P,SH6
AUA,MAR,3P,SH6
BON,CUR,3P,SH6
CUR,AUA,3P,SH6
LSP,AUA,3P,SH6
MAR,AUA,3P,SH6
ASF,DME,3R,SU9
ASF,LED,3R,SU9
BHK,DME,3R,734
DME,ASF,3R,SU9
DME,BHK,3R,734
DME,EGO,3R,SU9
DME,FEG,3R,734
DME,KSQ,3R,734
DME,NMA,3R,734
DME,NVI,3R,734
DME,SKD,3R,734
DME,TIV,3R,SU9 73G
EGO,DME,3R,SU9
FEG,DME,3R,734
KSQ,DME,3R,734
LED,ASF,3R,SU9
NMA,DME,3R,734
NVI,DME,3R,734
SKD,DME,3R,734
TIV,DME,3R,SU9 73G
ANU,PTP,3S,AT5
CAY,FDF,3S,320
CUR,SDQ,3S,AT5
DOM,PTP,3S,AT5
DOM,SXM,3S,AT5
FDF,CAY,3S,320
FDF,PTP,3S,AT5 320
FDF,SDQ,3S,AT5
FDF,SLU,3S,AT5
PTP,ANU,3S,AT5
PTP,DOM,3S,AT5
PTP,FDF,3S,AT5 320
PTP,SBH,3S,DHT
PTP,SDQ,3S,AT5
PTP,SFG,3S,AT5
PTP,SXM,3S,AT5
SBH,PTP,3S,DHT
SDQ,PTP,3S,AT5
SDQ,SXM,3S,AT5
SFG,PTP,3S,AT5
SLU,FDF,3S,AT5
SXM,DOM,3S,AT5
SXM,PTP,3S,AT5
SXM,SDQ,3S,AT5
BHY,XIY,3U,321
CAN,CKG,3U,321 320
CAN,CTU,3U,321 320 330
CAN,SPN,3U,330
CGO,CGQ,3U,321
CGO,CKG,3U,321
CGO,CTU,3U,321
CGO,HGH,3U,320
CGO,HRB,3U,320
CGO,KMG,3U,320
CGO,URC,3U,320
CGQ,CGO,3U,321
CGQ,NKG,3U,320
CGQ,TNA,3U,321
CGQ,TSN,3U,320 319
CKG,CAN,3U,321 320
CKG,CGO,3U,321
CKG,CSX,3U,319 321
CKG,CTU,3U,330
CKG,CZX,3U,320
CKG,DLC,3U,320
CKG,DYG,3U,320
CKG,HAK,3U,319
CKG,HGH,3U,320 319
CKG,HKT,3U,321
CKG,KHN,3U,319
CKG,KMG,3U,319 320
CKG,LHW,3U,319 321
CKG,LJG,3U,319
CKG,LXA,3U,319
CKG,NGB,3U,319
CKG,NKG,3U,319
CKG,NNG,3U,319
CKG,PEK,3U,321 319 320
CKG,PVG,3U,320 319
CKG,PZI,3U,319
CKG,SWA,3U,319
CKG,SYD,3U,330
CKG,SYX,3U,320
CKG,SZX,3U,320
CKG,TNA,3U,321
CKG,TSA,3U,320
CKG,TSN,3U,319
CKG,TYN,3U,321
CKG,URC,3U,320
CKG,WUH,3U,319
CKG,WUX,3U,319
CKG,XIY,3U,319
CKG,XNN,3U,320
CKG,YIH,3U,319
CKG,ZHA,3U,319
CSX,CKG,3U,319 321
CSX,CTU,3U,320
CSX,FOC,3U,320
CSX,KMG,3U,320
CSX,SHE,3U,320
CSX,WNZ,3U,319
CSX,XMN,3U,321
CTU,CAN,3U,321 320 330
CTU,CGO,3U,321
CTU,CKG,3U,330
CTU,CSX,3U,320
CTU,DCY,3U,319
CTU,DSN,3U,319
CTU,HAK,3U,321
CTU,HDG,3U,319
CTU,HET,3U,320
CTU,HFE,3U,321
CTU,HGH,3U,320 319
CTU,HKG,3U,320
CTU,HKT,3U,321
CTU,ICN,3U,321
CTU,JHG,3U,319
CTU,JIQ,3U,320
CTU,JZH,3U,319
CTU,KHN,3U,321
CTU,KMG,3U,320
CTU,KOW,3U,320
CTU,KWE,3U,320
CTU,LHW,3U,319
CTU,LJG,3U,319
CTU,LUM,3U,319
CTU,LXA,3U,330 319
CTU,LZY,3U,319
CTU,MEL,3U,330
CTU,NKG,3U,319 320
CTU,NNG,3U,319 320
CTU,PEK,3U,330 321 320
CTU,PVG,3U,321 330
CTU,PZI,3U,319
CTU,SHE,3U,330
CTU,SJW,3U,320
CTU,SYX,3U,321
CTU,SZX,3U,320 321
CTU,TAO,3U,321
CTU,TNA,3U,321
CTU,TSA,3U,320
CTU,TSN,3U,321
CTU,TYN,3U,319
CTU,URC,3U,319 330
CTU,WNZ,3U,320
CTU,WUH,3U,319
CTU,WUX,3U,320
CTU,WXN,3U,319
CTU,XIC,3U,320
CTU,XIY,3U,320 319
CTU,XMN,3U,320
CTU,XNN,3U,320
CTU,XUZ,3U,320
CTU,YIH,3U,320
CTU,YTY,3U,319
CZX,CKG,3U,320
CZX,HRB,3U,321
CZX,XMN,3U,321
CZX,ZUH,3U,320
DAT,TYN,3U,319
DCY,CTU,3U,319
DLC,CKG,3U,320
DLC,HGH,3U,320
DLC,HRB,3U,320
DLC,TNA,3U,321
DLC,XUZ,3U,320
DNH,LHW,3U,319
DSN,CTU,3U,319
DSN,SHE,3U,319
DYG,CKG,3U,320
DYG,NKG,3U,319
FOC,CSX,3U,320
FOC,XIY,3U,319
GXH,LXA,3U,319
GXH,XIY,3U,319
HAK,CKG,3U,319
HAK,CTU,3U,321
HAK,HGH,3U,320
HAK,NGB,3U,321
HAK,ZUH,3U,320
HDG,CTU,3U,319
HET,CTU,3U,320
HFE,CTU,3U,321
HGH,CGO,3U,320
HGH,CKG,3U,320 319
HGH,CTU,3U,319 320
HGH,DLC,3U,320
HGH,HAK,3U,320
HGH,KWE,3U,320
HGH,TSN,3U,320
HGH,TYN,3U,320
HKG,CTU,3U,320
HKG,YIH,3U,320
HKG,ZHA,3U,319
HKT,CKG,3U,321
HKT,CTU,3U,321
HRB,CGO,3U,320
HRB,CZX,3U,321
HRB,DLC,3U,320
HRB,NGB,3U,321
HRB,NKG,3U,319
HRB,NZH,3U,321
HRB,SJW,3U,321
HRB,TNA,3U,320 321
HRB,TSN,3U,321
HRB,WNZ,3U,321
HRB,WUH,3U,321
HRB,XIY,3U,321
HRB,XUZ,3U,320 321
ICN,CTU,3U,321
JGN,LHW,3U,319
JHG,CTU,3U,319
JHG,KMG,3U,319
JIQ,CTU,3U,320
JJN,KWE,3U,320
JJN,WUH,3U,319
JZH,CTU,3U,319
KHG,URC,3U,319
KHN,CKG,3U,319
KHN,CTU,3U,321
KHN,KMG,3U,319
KHN,NGB,3U,321
KMG,CGO,3U,320
KMG,CKG,3U,319 320
KMG,CSX,3U,320
KMG,CTU,3U,320
KMG,JHG,3U,319
KMG,KHN,3U,319
KMG,KWE,3U,320
KMG,LUM,3U,319
KMG,NGB,3U,320
KMG,NKG,3U,320
KMG,TAO,3U,320
KMG,TNA,3U,320
KMG,TPE,3U,320
KMG,WXN,3U,320
KMG,XIY,3U,320
KMG,XMN,3U,320
KMG,XUZ,3U,320
KOW,CTU,3U,320
KOW,XMN,3U,320
KWE,CTU,3U,320
KWE,HGH,3U,320
KWE,JJN,3U,320
KWE,KMG,3U,320
KWE,LHW,3U,321
KWE,SYX,3U,321
KWE,WNZ,3U,320
KWE,XUZ,3U,321
KWL,SJW,3U,321
KWL,SYX,3U,320
LHW,CKG,3U,319 321
LHW,CTU,3U,319
LHW,DNH,3U,319
LHW,JGN,3U,319
LHW,KWE,3U,321
LHW,TSN,3U,321
LJG,CKG,3U,319
LJG,CTU,3U,319
LJG,MIG,3U,319
LUM,CTU,3U,319
LUM,KMG,3U,319
LXA,CKG,3U,319
LXA,CTU,3U,330 319
LXA,GXH,3U,319
LXA,XIY,3U,319
LXA,XNN,3U,319
LYI,XIY,3U,319 320
LZY,CTU,3U,319
MEL,CTU,3U,330
MIG,LJG,3U,319
MIG,NKG,3U,319
MIG,SYX,3U,320
MIG,XNN,3U,320
NGB,CKG,3U,319
NGB,HAK,3U,321
NGB,HRB,3U,321
NGB,KHN,3U,321
NGB,KMG,3U,320
NGB,SHE,3U,321
NGB,SYX,3U,321
NKG,CGQ,3U,320
NKG,CKG,3U,319
NKG,CTU,3U,319 320
NKG,DYG,3U,319
NKG,HRB,3U,319
NKG,KMG,3U,320
NKG,MIG,3U,319
NKG,SYX,3U,320
NNG,CKG,3U,319
NNG,CTU,3U,319 320
NNG,SGN,3U,320
NNG,WUH,3U,321
NZH,HRB,3U,321
PEK,CKG,3U,319 321 320
PEK,CTU,3U,321 320 330
PEK,WXN,3U,320
PEK,ZHY,3U,320
PVG,CKG,3U,320 319
PVG,CTU,3U,330 321
PVG,SPN,3U,330
PZI,CKG,3U,319
PZI,CTU,3U,319
SGN,NNG,3U,320
SHE,CSX,3U,320
SHE,CTU,3U,330
SHE,DSN,3U,319
SHE,NGB,3U,321
SHE,TYN,3U,321
SHE,XUZ,3U,320
SHE,YVR,3U,330
SJW,CTU,3U,320
SJW,HRB,3U,321
SJW,KWL,3U,321
SPN,CAN,3U,330
SPN,PVG,3U,330
SWA,CKG,3U,319
SYD,CKG,3U,330
SYX,CKG,3U,320
SYX,CTU,3U,321
SYX,KWE,3U,321
SYX,KWL,3U,320
SYX,MIG,3U,320
SYX,NGB,3U,321
SYX,NKG,3U,320
SYX,TNA,3U,321
SYX,WNZ,3U,321
SYX,YBP,3U,319
SZX,CKG,3U,320
SZX,CTU,3U,320 321
SZX,WXN,3U,319
TAO,CTU,3U,321
TAO,KMG,3U,320
TNA,CGQ,3U,321
TNA,CKG,3U,321
TNA,CTU,3U,321
TNA,DLC,3U,321
TNA,HRB,3U,320 321
TNA,KMG,3U,320
TNA,SYX,3U,321
TNA,XIY,3U,320
TPE,KMG,3U,320
TSA,CKG,3U,320
TSA,CTU,3U,320
TSN,CGQ,3U,320 319
TSN,CKG,3U,319
TSN,CTU,3U,321
TSN,HGH,3U,320
TSN,HRB,3U,321
TSN,LHW,3U,321
TYN,CKG,3U,321
TYN,CTU,3U,319
TYN,DAT,3U,319
TYN,HGH,3U,320
TYN,SHE,3U,321
URC,CGO,3U,320
URC,CKG,3U,320
URC,CTU,3U,319 330
URC,KHG,3U,319
URC,XIY,3U,319
UYN,XIY,3U,319
WNZ,CSX,3U,319
WNZ,CTU,3U,320
WNZ,HRB,3U,321
WNZ,KWE,3U,320
WNZ,SYX,3U,321
WUH,CKG,3U,319
WUH,CTU,3U,319
WUH,HRB,3U,321
WUH,JJN,3U,319
WUH,NNG,3U,321
WUX,CKG,3U,319
WUX,CTU,3U,320
WXN,CTU,3U,319
WXN,KMG,3U,320
WXN,PEK,3U,320
WXN,SZX,3U,319
XIC,CTU,3U,320
XIY,BHY,3U,321
XIY,CKG,3U,319
XIY,CTU,3U,320 319
XIY,FOC,3U,319
XIY,GXH,3U,319
XIY,HRB,3U,321
XIY,KMG,3U,320
XIY,LXA,3U,319
XIY,LYI,3U,319 320
XIY,TNA,3U,320
XIY,URC,3U,319
XIY,UYN,3U,319
XIY,XMN,3U,319
XIY,XNN,3U,319
XIY,YBP,3U,319
XMN,CSX,3U,321
XMN,CTU,3U,320
XMN,CZX,3U,321
XMN,KMG,3U,320
XMN,KOW,3U,320
XMN,XIY,3U,319
XNN,CKG,3U,320
XNN,CTU,3U,320
XNN,LXA,3U,319
XNN,MIG,3U,320
XNN,XIY,3U,319
XNN,ZHY,3U,320
XUZ,CTU,3U,320
XUZ,DLC,3U,320
XUZ,HRB,3U,320 321
XUZ,KMG,3U,320
XUZ,KWE,3U,321
XUZ,SHE,3U,320
YBP,SYX,3U,319
YBP,XIY,3U,319
YIH,CKG,3U,319
YIH,CTU,3U,320
YIH,HKG,3U,320
YTY,CTU,3U,319
YVR,SHE,3U,330
ZHA,CKG,3U,319
ZHA,HKG,3U,319
ZHY,PEK,3U,320
ZHY,XNN,3U,320
ZUH,CZX,3U,320
ZUH,HAK,3U,320
LAS,LAX,4B,PL2
LAX,LAS,4B,PL2
CAI,TLV,4D,E70
TLV,CAI,4D,E70
MCG,NIB,4E,PAG
NIB,MCG,4E,PAG
TLJ,MCG,4E,PAG
EYK,VKO,4G,YK2
NCU,VKO,4G,73G
NUX,TJM,4G,TU5
NUX,UFA,4G,TU5
NUX,VKO,4G,73G TU5
NYM,OVS,4G,YK4
NYM,VKO,4G,73G
OVS,NYM,4G,YK4
OVS,SVX,4G,YK4
OVS,VKO,4G,YK2
SVX,OVS,4G,YK4
TJM,NUX,4G,TU5
UCT,VKO,4G,YK2
UFA,NUX,4G,TU5
VKO,EYK,4G,YK2
VKO,NCU,4G,73G
VKO,NUX,4G,73G TU5
VKO,NYM,4G,73G
VKO,OVS,4G,YK2
